사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2014010400100061,2014년 1월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,51-60세,상해없음,특수,남,51-60세,경상
2014010400100091,2014년 1월,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 횡단보도부근,승용,남,51-60세,상해없음,자전거,여,31-40세,경상
2014010400100183,2014년 1월,토요일,서울특별시 광진구 군자동,중상사고,0,1,1,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,원동기,남,65세 이상,중상,승용,남,21-30세,경상
2014010500100062,2014년 1월,일요일,서울특별시 광진구 구의동,경상사고,0,0,2,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,경상,승용,남,51-60세,경상
2014010600100166,2014년 1월,월요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 횡단보도부근,승합,남,41-50세,상해없음,보행자,여,21-30세,경상
2014010600100269,2014년 1월,월요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,41-50세,상해없음,승용,남,41-50세,경상
2014010600100471,2014년 1월,월요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,51-60세,상해없음,보행자,남,21-30세,경상
2014010700100001,2014년 1월,화요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,41-50세,경상
2014010700100449,2014년 1월,화요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,여,31-40세,상해없음,승용,남,31-40세,경상
2014010800100001,2014년 1월,수요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,20세 이하,상해없음,보행자,여,21-30세,중상
2014010800100052,2014년 1월,수요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,승용,남,65세 이상,경상
2014010800100053,2014년 1월,수요일,서울특별시 광진구 군자동,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,남,41-50세,경상
2014010800100435,2014년 1월,수요일,서울특별시 광진구 자양동,중상사고,0,1,3,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,41-50세,상해없음,승용,여,31-40세,중상
2014010800100467,2014년 1월,수요일,서울특별시 광진구 광장동,중상사고,0,1,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,41-50세,상해없음,승용,남,21-30세,중상
2014010900100003,2014년 1월,목요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,31-40세,상해없음,승용,남,21-30세,경상
2014010900100004,2014년 1월,목요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,,,,
2014010900100136,2014년 1월,목요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,31-40세,중상,승용,남,21-30세,상해없음
2.01401E+15,2014년 1월,목요일,서울특별시 광진구 군자동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,여,41-50세,경상
2014010900100442,2014년 1월,목요일,서울특별시 광진구 화양동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,이륜,남,51-60세,경상,승용,남,31-40세,경상
2014011000100052,2014년 1월,금요일,서울특별시 광진구 중곡동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 횡단보도상,승합,남,41-50세,상해없음,보행자,여,31-40세,사망
2014011100100108,2014년 1월,토요일,서울특별시 광진구 화양동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,남,51-60세,경상
2014011100100187,2014년 1월,토요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로부근,승용,여,41-50세,상해없음,보행자,남,31-40세,중상
2014011100100427,2014년 1월,토요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,건조,맑음,교차로 - 교차로부근,원동기,남,51-60세,중상,승용,남,21-30세,상해없음
2014011200100129,2014년 1월,일요일,서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,31-40세,상해없음,승용,남,61-64세,경상
2014011200100172,2014년 1월,일요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,51-60세,중상,승용,여,41-50세,상해없음
2014011200100208,2014년 1월,일요일,서울특별시 광진구 자양동,경상사고,0,0,5,0,차대차 - 추돌,안전운전불이행,건조,맑음,미분류 - 미분류,승용,남,21-30세,상해없음,승용,남,31-40세,경상
2014011200100263,2014년 1월,일요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,41-50세,상해없음,승용,여,41-50세,경상
2014011200100342,2014년 1월,일요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 횡단보도상,승용,남,51-60세,상해없음,보행자,여,51-60세,중상
2014011300100062,2014년 1월,월요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,65세 이상,경상
2014011300100241,2014년 1월,월요일,서울특별시 광진구 구의동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,61-64세,상해없음,승용,남,31-40세,경상
2.01401E+15,2014년 1월,월요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,이륜,남,21-30세,중상
2014011300100443,2014년 1월,월요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차량단독 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,51-60세,상해없음,,,,
2014011300100461,2014년 1월,월요일,서울특별시 광진구 능동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,41-50세,상해없음,보행자,여,21-30세,중상
2014011400100111,2014년 1월,화요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승용,남,41-50세,경상
2014011400100222,2014년 1월,화요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,단일로 - 기타,원동기,남,20세 이하,경상,승용,여,31-40세,상해없음
2014011400100367,2014년 1월,화요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,자전거,남,51-60세,경상
2.01401E+15,2014년 1월,화요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,31-40세,상해없음,원동기,남,21-30세,경상
2014011500100041,2014년 1월,수요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차량단독 - 충돌,안전운전불이행,습기,흐림,단일로 - 기타,승용,남,31-40세,경상,,,,
2014011500100102,2014년 1월,수요일,서울특별시 광진구 자양동,중상사고,0,2,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,원동기,남,41-50세,상해없음,승용,남,61-64세,중상
2014011500100131,2014년 1월,수요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,보행자,남,21-30세,중상
2014011500100179,2014년 1월,수요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,보행자,남,31-40세,경상
2014011500100313,2014년 1월,수요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,원동기,남,31-40세,상해없음,보행자,남,12세 이하,중상
2014011500100516,2014년 1월,수요일,서울특별시 광진구 군자동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,승용,남,41-50세,경상
2014011600100186,2014년 1월,목요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,화물,남,51-60세,상해없음,원동기,남,31-40세,중상
2014011600100232,2014년 1월,목요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 충돌,차로위반,건조,맑음,단일로 - 기타,원동기,남,65세 이상,상해없음,승용,여,31-40세,중상
2014011700100001,2014년 1월,금요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,31-40세,상해없음,승용,남,51-60세,경상
2014011700100266,2014년 1월,금요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,기타불명,기타불명,기타불명,승용,여,21-30세,경상
2014011700100267,2014년 1월,금요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,교차로 - 교차로부근,승용,남,61-64세,상해없음,자전거,남,41-50세,경상
2014011700100473,2014년 1월,금요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,31-40세,상해없음,승용,남,51-60세,경상
2014011800100038,2014년 1월,토요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,31-40세,상해없음,화물,남,31-40세,경상
2014011800100092,2014년 1월,토요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,61-64세,상해없음,보행자,남,21-30세,중상
2.01401E+15,2014년 1월,토요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,승용,남,61-64세,경상
2014011800100435,2014년 1월,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,기타불명,기타불명,기타불명
2.01401E+15,2014년 1월,일요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,보행자,여,21-30세,중상
2014012000100038,2014년 1월,월요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,적설,눈,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,31-40세,경상
2014012000100055,2014년 1월,월요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,적설,눈,단일로 - 기타,화물,기타불명,기타불명,기타불명,승용,남,41-50세,경상
2014012000100067,2014년 1월,월요일,서울특별시 광진구 화양동,부상신고사고,0,0,0,1,차대차 - 추돌,안전거리미확보,적설,눈,단일로 - 기타,승용,남,41-50세,상해없음,화물,남,51-60세,상해없음
2014012000100175,2014년 1월,월요일,서울특별시 광진구 군자동,경상사고,0,0,1,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,승용,남,51-60세,부상신고
2014012000100521,2014년 1월,월요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,결빙,흐림,단일로 - 기타,승용,여,31-40세,상해없음,승용,남,31-40세,경상
2014012000100605,2014년 1월,월요일,서울특별시 광진구 광장동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,적설,눈,교차로 - 교차로부근,승용,남,41-50세,상해없음,승용,남,51-60세,경상
2014012000100638,2014년 1월,월요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,기타불명,기타불명,기타불명,보행자,남,13-20세,경상
2014012100100013,2014년 1월,화요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,51-60세,경상
2014012100100128,2014년 1월,화요일,서울특별시 광진구 광장동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,습기,흐림,단일로 - 횡단보도상,승용,남,41-50세,상해없음,보행자,여,65세 이상,중상
2014012100100129,2014년 1월,화요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,결빙,맑음,단일로 - 기타,승용,여,21-30세,상해없음,승용,남,41-50세,경상
2.01401E+15,2014년 1월,수요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승용,남,65세 이상,경상
2014012200100209,2014년 1월,수요일,서울특별시 광진구 구의동,중상사고,0,1,1,0,차대차 - 기타,신호위반,결빙,맑음,교차로 - 교차로안,승용,여,31-40세,상해없음,승용,여,51-60세,경상
2014012200100236,2014년 1월,수요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,41-50세,상해없음,원동기,남,41-50세,경상
2014012200100527,2014년 1월,수요일,서울특별시 광진구 광장동,경상사고,0,0,4,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승용,남,65세 이상,경상
2014012300100001,2014년 1월,목요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,51-60세,상해없음
2014012300100041,2014년 1월,목요일,서울특별시 광진구 광장동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,승용,남,65세 이상,경상
2014012300100046,2014년 1월,목요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,65세 이상,상해없음
2014012300100148,2014년 1월,목요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,승용,남,41-50세,상해없음
2014012300100264,2014년 1월,목요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,65세 이상,상해없음,보행자,남,51-60세,경상
2014012300100349,2014년 1월,목요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,승합,남,51-60세,상해없음,승용,남,51-60세,경상
2014012300100525,2014년 1월,목요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,습기,맑음,단일로 - 기타,승용,남,61-64세,상해없음,원동기,남,31-40세,중상
2014012400100028,2014년 1월,금요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승용,남,51-60세,경상
2014012400100094,2014년 1월,금요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,여,61-64세,중상
2014012400100095,2014년 1월,금요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,여,65세 이상,중상
2.01401E+15,2014년 1월,금요일,서울특별시 광진구 광장동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,원동기,남,65세 이상,중상
2014012400100256,2014년 1월,금요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,원동기,남,31-40세,상해없음,보행자,여,12세 이하,경상
2014012400100278,2014년 1월,금요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,이륜,남,21-30세,경상
2014012400100456,2014년 1월,금요일,서울특별시 광진구 중곡동,부상신고사고,0,0,0,1,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,자전거,남,31-40세,부상신고
2.01401E+15,2014년 1월,금요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,31-40세,상해없음,원동기,여,31-40세,경상
2014012400100635,2014년 1월,금요일,서울특별시 광진구 자양동,경상사고,0,0,4,0,차대차 - 충돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,21-30세,상해없음,승용,남,41-50세,경상
2014012500100366,2014년 1월,토요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,51-60세,상해없음
2014012600100173,2014년 1월,일요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,원동기,남,20세 이하,상해없음,자전거,남,21-30세,중상
2014012600100424,2014년 1월,일요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,승용,남,41-50세,경상
2014012700100002,2014년 1월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,51-60세,경상
2014012700100392,2014년 1월,월요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,원동기,남,41-50세,중상
2014012700100426,2014년 1월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,21-30세,상해없음,승합,남,31-40세,경상
2014012800100085,2014년 1월,화요일,서울특별시 광진구 군자동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,습기,비,단일로 - 기타,승용,남,61-64세,상해없음,승용,남,65세 이상,경상
2014012800100132,2014년 1월,화요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대사람 - 보도통행중,신호위반,건조,기타,교차로 - 교차로안,이륜,남,41-50세,상해없음,보행자,남,12세 이하,중상
2014012800100422,2014년 1월,화요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,41-50세,상해없음,원동기,남,21-30세,경상
2014012800100667,2014년 1월,화요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,보행자,남,41-50세,경상
2014012900100068,2014년 1월,수요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,기타불명,기타불명,보행자,남,21-30세,중상
2014012900100409,2014년 1월,수요일,서울특별시 광진구 중곡동,부상신고사고,0,0,0,1,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,원동기,남,51-60세,부상신고
2014012900100461,2014년 1월,수요일,서울특별시 광진구 구의동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,여,41-50세,상해없음,승용,남,51-60세,경상
2014012900100527,2014년 1월,수요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,보행자,남,41-50세,경상
2014013000100031,2014년 1월,목요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,21-30세,상해없음,승용,남,61-64세,경상
2014013000100071,2014년 1월,목요일,서울특별시 광진구 자양동,부상신고사고,0,0,0,1,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,51-60세,상해없음,승용,남,61-64세,부상신고
2.01401E+15,2014년 1월,목요일,서울특별시 광진구 중곡동,부상신고사고,0,0,0,1,차대차 - 충돌,중앙선침범,기타,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,승용,남,51-60세,부상신고
2014013000100349,2014년 1월,목요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승용,남,51-60세,경상
2014013100100264,2014년 1월,금요일,서울특별시 광진구 구의동,중상사고,0,2,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,승용,남,51-60세,경상
2014020100100161,2014년 2월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,습기,비,교차로 - 교차로부근,승합,남,65세 이상,상해없음,승용,남,61-64세,경상
2014020100100205,2014년 2월,토요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,습기,비,교차로 - 교차로안,승용,여,31-40세,상해없음,보행자,남,12세 이하,경상
2014020200100062,2014년 2월,일요일,서울특별시 광진구 자양동,부상신고사고,0,0,0,1,차량단독 - 충돌,중앙선침범,건조,맑음,단일로 - 교량,승용,남,21-30세,상해없음,,,,
2014020200100311,2014년 2월,일요일,서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,31-40세,상해없음,승용,남,31-40세,경상
2014020300100001,2014년 2월,월요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,승용,남,21-30세,경상
2014020300100199,2014년 2월,월요일,서울특별시 광진구 광장동,중상사고,0,1,0,0,차대차 - 충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,31-40세,상해없음,이륜,남,41-50세,중상
2014020300100308,2014년 2월,월요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,보행자,여,65세 이상,경상
2014020300100425,2014년 2월,월요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,51-60세,상해없음,승용,남,31-40세,경상
2014020400100222,2014년 2월,화요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,원동기,남,21-30세,중상,승용,남,51-60세,상해없음
2014020400100411,2014년 2월,화요일,서울특별시 광진구 광장동,경상사고,0,0,2,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,41-50세,상해없음,원동기,남,13-20세,경상
2014020500100003,2014년 2월,수요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 횡단보도상,승용,남,51-60세,상해없음,보행자,여,31-40세,중상
