사고번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도,발생년도,발생월
2013120400100190.0,2013년 12월,수요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,기타불명,화물,남,31-40세,경상,2014,12
2013120400100436.0,2013년 12월,수요일,서울특별시 광진구 군자동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,경상,승용,여,51-60세,경상,2014,12
2013120500100147.2,2013년 12월,목요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,남,41-50세,경상,2014,12
2013120500100310.0,2013년 12월,목요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,흐림,교차로 - 교차로부근,승용,기타불명,기타불명,기타불명,자전거,남,41-50세,중상,2014,12
2013120500100535.2,2013년 12월,목요일,서울특별시 광진구 구의동,경상사고,0,0,3,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,51-60세,상해없음,승용,여,21-30세,경상,2014,12
2013120600100104.8,2013년 12월,금요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,이륜,남,51-60세,중상,2014,12
2013120600100232.8,2013년 12월,금요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,특수,남,21-30세,상해없음,원동기,남,31-40세,경상,2014,12
2013120600100411.2,2013년 12월,금요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,승합,남,51-60세,상해없음,2014,12
2013120600100456.8,2013년 12월,금요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,보행자,남,13-20세,중상,2014,12
2013120700100068.0,2013년 12월,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,51-60세,상해없음,2014,12
2013120700100356.0,2013년 12월,토요일,서울특별시 광진구 군자동,중상사고,0,1,0,0,차대사람 - 보도통행중,신호위반,건조,맑음,단일로 - 횡단보도상,화물,남,51-60세,상해없음,보행자,여,51-60세,중상,2014,12
2013120700100491.2,2013년 12월,토요일,서울특별시 광진구 광장동,경상사고,0,0,1,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 횡단보도상,이륜,남,21-30세,부상신고,승용,남,31-40세,경상,2014,12
2013120700100540.0,2013년 12월,토요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,남,41-50세,경상,2014,12
2013120800100003.2,2013년 12월,일요일,서울특별시 광진구 화양동,경상사고,0,0,2,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,31-40세,경상,2014,12
2013120800100408.0,2013년 12월,일요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,승용,남,31-40세,경상,2014,12
2013120900100140.8,2013년 12월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,습기,비,단일로 - 기타,승용,남,51-60세,상해없음,원동기,남,13-20세,경상,2014,12
2013120900100188.8,2013년 12월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,기타,맑음,교차로 - 교차로부근,승용,남,21-30세,경상,승합,남,51-60세,경상,2014,12
2013120900100298.0,2013년 12월,월요일,서울특별시 광진구 화양동,경상사고,0,0,1,1,차대차 - 충돌,안전운전불이행,습기,비,단일로 - 횡단보도부근,승용,남,21-30세,상해없음,승용,여,31-40세,경상,2014,12
2013120900100560.0,2013년 12월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,51-60세,경상,2014,12
2013121000100316.8,2013년 12월,화요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,단일로 - 횡단보도상,원동기,남,20세 이하,상해없음,보행자,남,12세 이하,경상,2014,12
2013121100100100.8,2013년 12월,수요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,적설,눈,단일로 - 기타,승용,남,61-64세,상해없음,승용,남,41-50세,상해없음,2014,12
2013121100100296.8,2013년 12월,수요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승합,남,61-64세,상해없음,2014,12
2013121100100380.8,2013년 12월,수요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,51-60세,상해없음,,,,,2014,12
2013121100100495.2,2013년 12월,수요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,65세 이상,상해없음,승용,여,51-60세,경상,2014,12
2013121200100019.2,2013년 12월,목요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,31-40세,상해없음,승용,여,41-50세,경상,2014,12
2013121200100463.2,2013년 12월,목요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,자전거,여,41-50세,중상,2014,12
2013121200100464.0,2013년 12월,목요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 추돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,21-30세,경상,2014,12
2013121300100147.2,2013년 12월,금요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,31-40세,상해없음,화물,남,41-50세,경상,2014,12
2013121300100439.2,2013년 12월,금요일,서울특별시 광진구 광장동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,21-30세,경상,2014,12
2013121400100002.0,2013년 12월,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,승용,남,51-60세,경상,2014,12
2013121400100399.2,2013년 12월,토요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,여,21-30세,중상,2014,12
2013121400100526.0,2013년 12월,토요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,보행자,남,51-60세,경상,2014,12
2013121500100027.2,2013년 12월,일요일,서울특별시 광진구 자양동,경상사고,0,0,3,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,41-50세,상해없음,2014,12
2013121500100092.0,2013년 12월,일요일,서울특별시 광진구 화양동,부상신고사고,0,0,0,4,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 횡단보도상,승용,남,21-30세,상해없음,승용,남,31-40세,기타불명,2014,12
2013121500100331.2,2013년 12월,일요일,서울특별시 광진구 군자동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,기타,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,승용,남,21-30세,경상,2014,12
2013121600100012.8,2013년 12월,월요일,서울특별시 광진구 구의동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,화물,남,41-50세,경상,2014,12
2013121600100076.0,2013년 12월,월요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차량단독 - 충돌,안전운전불이행,결빙,맑음,단일로 - 기타,승용,남,51-60세,상해없음,,,,,2014,12
2013121600100204.8,2013년 12월,월요일,서울특별시 광진구 화양동,경상사고,0,0,3,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,21-30세,경상,승용,남,41-50세,경상,2014,12
2013121700100015.2,2013년 12월,화요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,보행자,남,21-30세,중상,2014,12
2013121700100026.0,2013년 12월,화요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,보행자,남,41-50세,중상,2014,12
2013121700100055.2,2013년 12월,화요일,서울특별시 광진구 능동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,승용,남,41-50세,경상,2014,12
2013121700100216.0,2013년 12월,화요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,31-40세,상해없음,승합,남,41-50세,상해없음,2014,12
2013121800100147.2,2013년 12월,수요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,기타불명,기타불명,기타불명,원동기,남,21-30세,중상,2014,12
2013121800100388.8,2013년 12월,수요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,습기,맑음,단일로 - 기타,승용,남,51-60세,상해없음,원동기,남,13-20세,경상,2014,12
2013121800100390.0,2013년 12월,수요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,안전거리미확보,기타,맑음,교차로 - 교차로부근,승용,여,41-50세,상해없음,승용,남,51-60세,경상,2014,12
2013121900100107.2,2013년 12월,목요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,자전거,남,51-60세,경상,2014,12
2013121900100308.0,2013년 12월,목요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51-60세,상해없음,보행자,여,12세 이하,중상,2014,12
2013122000100004.0,2013년 12월,금요일,서울특별시 광진구 중곡동,경상사고,0,0,3,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승용,남,21-30세,경상,2014,12
2013122000100004.8,2013년 12월,금요일,서울특별시 광진구 자양동,중상사고,0,2,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,21-30세,상해없음,승용,남,51-60세,경상,2014,12
2013122000100192.8,2013년 12월,금요일,서울특별시 광진구 군자동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,20세 이하,상해없음,승용,남,51-60세,경상,2014,12
2013122000100420.0,2013년 12월,금요일,서울특별시 광진구 중곡동,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,남,41-50세,상해없음,승용,여,41-50세,중상,2014,12
2013122000100520.0,2013년 12월,금요일,서울특별시 광진구 구의동,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,건조,맑음,미분류 - 미분류,승용,남,51-60세,상해없음,자전거,남,65세 이상,사망,2014,12
2013122000100552.8,2013년 12월,금요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,여,31-40세,상해없음,승용,여,31-40세,경상,2014,12
2013122100100046.0,2013년 12월,토요일,서울특별시 광진구 자양동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승용,남,41-50세,경상,2014,12
2013122100100047.2,2013년 12월,토요일,서울특별시 광진구 능동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,20세 이하,상해없음,승용,남,41-50세,경상,2014,12
2013122100100098.0,2013년 12월,토요일,서울특별시 광진구 자양동,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,51-60세,기타불명,승용,남,21-30세,중상,2014,12
2013122100100118.0,2013년 12월,토요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,51-60세,상해없음,2014,12
2013122100100140.8,2013년 12월,토요일,서울특별시 광진구 중곡동,중상사고,0,1,1,0,차대차 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,41-50세,상해없음,승용,남,51-60세,경상,2014,12
2013122100100646.0,2013년 12월,토요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,원동기,남,13-20세,중상,2014,12
2013122100100647.2,2013년 12월,토요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,남,51-60세,경상,2014,12
2013122100100680.8,2013년 12월,토요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 추돌,중앙선침범,건조,맑음,교차로 - 교차로부근,원동기,남,20세 이하,경상,승용,남,61-64세,상해없음,2014,12
2013122200100027.2,2013년 12월,일요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,기타,맑음,단일로 - 기타,승용,남,31-40세,상해없음,보행자,남,41-50세,경상,2014,12
2013122200100084.0,2013년 12월,일요일,서울특별시 광진구 광장동,중상사고,0,5,0,0,차대차 - 충돌,과속,습기,맑음,단일로 - 기타,승용,남,51-60세,중상,승용,남,21-30세,중상,2014,12
2013122200100316.8,2013년 12월,일요일,서울특별시 광진구 구의동,경상사고,0,0,2,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41-50세,상해없음,승합,남,31-40세,경상,2014,12
2013122300100047.2,2013년 12월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,41-50세,상해없음,보행자,여,65세 이상,경상,2014,12
2013122300100052.8,2013년 12월,월요일,서울특별시 광진구 능동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 횡단보도부근,승합,남,65세 이상,상해없음,승용,남,21-30세,경상,2014,12
2013122300100260.8,2013년 12월,월요일,서울특별시 광진구 중곡동,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,41-50세,상해없음,원동기,남,41-50세,사망,2014,12
2013122300100335.2,2013년 12월,월요일,서울특별시 광진구 군자동,부상신고사고,0,0,0,1,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,기타불명,기타불명,기타불명,기타불명,승용,남,21-30세,부상신고,2014,12
2013122300100366.0,2013년 12월,월요일,서울특별시 광진구 구의동,중상사고,0,1,6,0,차대차 - 추돌,안전운전불이행,건조,맑음,기타 - 기타,승합,남,51-60세,상해없음,승용,남,61-64세,경상,2014,12
2013122300100444.8,2013년 12월,월요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,31-40세,상해없음,자전거,남,65세 이상,경상,2014,12
2013122400100120.0,2013년 12월,화요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차량단독 - 충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,61-64세,상해없음,,,,,2014,12
2013122400100591.2,2013년 12월,화요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,결빙,맑음,단일로 - 교량,승용,남,41-50세,상해없음,승용,남,41-50세,상해없음,2014,12
2013122400100627.2,2013년 12월,화요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,보행자,남,21-30세,경상,2014,12
2013122500100268.0,2013년 12월,수요일,서울특별시 광진구 구의동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,여,21-30세,상해없음,승용,여,21-30세,경상,2014,12
2013122600100100.8,2013년 12월,목요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,특수,기타불명,기타불명,기타불명,승용,남,21-30세,경상,2014,12
2013122600100434.0,2013년 12월,목요일,서울특별시 광진구 중곡동,경상사고,0,0,1,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,승합,남,51-60세,경상,2014,12
2013122600100456.8,2013년 12월,목요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,여,31-40세,상해없음,보행자,여,61-64세,경상,2014,12
2013122600100540.8,2013년 12월,목요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,보행자,여,41-50세,중상,2014,12
2013122700100096.0,2013년 12월,금요일,서울특별시 광진구 광장동,중상사고,0,2,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,41-50세,중상,승용,여,51-60세,중상,2014,12
2013122700100120.0,2013년 12월,금요일,서울특별시 광진구 능동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,기타,맑음,교차로 - 교차로안,승용,남,21-30세,상해없음,보행자,여,21-30세,중상,2014,12
2013122700100320.0,2013년 12월,금요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,남,41-50세,상해없음,보행자,남,41-50세,경상,2014,12
2013122700100498.0,2013년 12월,금요일,서울특별시 광진구 구의동,경상사고,0,0,3,0,차대차 - 충돌,교차로운행방법위반,기타,맑음,교차로 - 교차로안,승합,남,41-50세,상해없음,승용,여,21-30세,경상,2014,12
2013122800100116.8,2013년 12월,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승용,남,65세 이상,경상,2014,12
2013122800100247.2,2013년 12월,토요일,서울특별시 광진구 자양동,경상사고,0,0,2,1,차대차 - 추돌,안전거리미확보,건조,맑음,미분류 - 미분류,승용,남,51-60세,상해없음,승용,남,51-60세,부상신고,2014,12
2013122800100248.0,2013년 12월,토요일,서울특별시 광진구 자양동,경상사고,0,0,2,2,차대차 - 추돌,안전운전불이행,건조,맑음,미분류 - 미분류,승용,남,21-30세,상해없음,승용,남,31-40세,경상,2014,12
2013122800100276.8,2013년 12월,토요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,41-50세,중상,승용,남,65세 이상,상해없음,2014,12
2013122800100487.2,2013년 12월,토요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,남,31-40세,상해없음,보행자,여,21-30세,경상,2014,12
2013122900100246.0,2013년 12월,일요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,승용,남,31-40세,상해없음,2014,12
2013122900100391.2,2013년 12월,일요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31-40세,상해없음,보행자,남,31-40세,경상,2014,12
2013123000100258.0,2013년 12월,월요일,서울특별시 광진구 군자동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 횡단보도부근,승용,남,21-30세,상해없음,승합,남,41-50세,상해없음,2014,12
2013123000100434.0,2013년 12월,월요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,여,13-20세,중상,2014,12
2013123100100112.0,2013년 12월,화요일,서울특별시 광진구 구의동,사망사고,1,1,0,0,차대차 - 충돌,중앙선침범,습기,맑음,단일로 - 교량,승용,여,31-40세,사망,승용,남,51-60세,중상,2014,12
2013123100100256.0,2013년 12월,화요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,41-50세,상해없음,화물,남,31-40세,경상,2014,12
2013123100100424.0,2013년 12월,화요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,41-50세,경상,승용,남,31-40세,상해없음,2014,12
2013123100100472.8,2013년 12월,화요일,서울특별시 광진구 광장동,부상신고사고,0,0,0,2,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,31-40세,부상신고,2014,12
2013123100100530.0,2013년 12월,화요일,서울특별시 광진구 화양동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,31-40세,상해없음,원동기,남,41-50세,중상,2014,12
2013123100100572.8,2013년 12월,화요일,서울특별시 광진구 광장동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,남,31-40세,경상,2014,12
2014010100100026.0,2014년 1월,수요일,서울특별시 광진구 자양동,경상사고,0,0,2,1,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,31-40세,상해없음,승용,남,31-40세,경상,2014,1
2014010000000000.0,2014년 1월,수요일,서울특별시 광진구 광장동,중상사고,0,1,0,4,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,승용,여,21-30세,부상신고,2014,1
2014010100100084.0,2014년 1월,수요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61-64세,상해없음,이륜,남,51-60세,중상,2014,1
2014010100100263.2,2014년 1월,수요일,서울특별시 광진구 광장동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,21-30세,상해없음,승용,남,31-40세,중상,2014,1
2014010200100067.2,2014년 1월,목요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대사람 - 횡단중,중앙선침범,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,보행자,여,21-30세,경상,2014,1
2014010200100132.0,2014년 1월,목요일,서울특별시 광진구 자양동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,51-60세,상해없음,자전거,남,21-30세,중상,2014,1
2014010200100266.0,2014년 1월,목요일,서울특별시 광진구 구의동,중상사고,0,1,0,0,차대차 - 기타,중앙선침범,건조,맑음,교차로 - 교차로부근,승합,남,65세 이상,상해없음,이륜,남,31-40세,중상,2014,1
