도로명,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,터널 여부,교량 여부,서비스 도로 여부,도로 ID,속도 제한,차선 수,일방통행 여부,교차로 여부
천호대로,주도로,37.5533477,127.0887981,37.553393,127.0887556,,,,944420333,,5,True,
천호대로122길,주거지 도로,37.5536011,127.0882185,37.55348,127.0881393,,,,417136975,,,,
천호대로,주도로,37.5536011,127.0882185,37.5534728,127.0884141,,,,944420332,,5,True,
천호대로,주도로,37.5556426,127.0830546,37.5551387,127.0843509,,,,175320268,,5,True,
천호대로114길,주거지 도로,37.5556426,127.0830546,37.5555633,127.0830062,,,,175320458,,,,
군자로,3차로,37.557395,127.0786804,37.5573055,127.07862,,,,37399478,,,,
천호대로,주도로,37.557395,127.0786804,37.5570888,127.0794562,,,,1149812478,,5,True,
천호대로,주도로,37.5580747,127.0769544,37.5580132,127.0771187,,,,1149812478,,5,True,
면목로,3차로,37.5580747,127.0769544,37.5579482,127.0768805,,,,1149812479,,,,
면목로,3차로,37.5580747,127.0769544,37.5582076,127.0770318,,,,1149812480,,,,
동일로,주도로,37.563293,127.0760044,37.5637286,127.076252,,,,218790207,,,True,
동일로,주거지 도로,37.563293,127.0760044,37.5632661,127.0760945,,,,380764186,,,,
동일로,주도로,37.5673628,127.0782525,37.5679131,127.0785682,,,,175357599,,,,
동일로74길,주거지 도로,37.5673628,127.0782525,37.567316,127.0783846,,,,380722335,,,,
동일로,주도로,37.5673628,127.0782525,37.5661328,127.0774882,,,,1060930647,,,True,
,서비스 도로,37.5518293,127.1096747,37.5519147,127.1095343,,,parking_aisle,241755317,,,,
아차산로,주도로,37.5518293,127.1096747,37.5508616,127.1089575,,,,37394464,,,True,
아차산로,주도로,37.5493016,127.1079949,37.5482083,127.1072098,,,,516647750,,,,
,서비스 도로,37.5493016,127.1079949,37.5500523,127.107746,,,parking_aisle,516647751,,,,
아차산로,주도로,37.5493016,127.1079949,37.5503666,127.1087805,,,,1210106653,,,True,
아차산로,주도로,37.5461477,127.105331,37.5467434,127.1058268,,,,516647742,,,,
아차산로,주도로,37.5461477,127.105331,37.5457441,127.1049887,,,,975333464,,,,
,2차로,37.5461477,127.105331,37.5466618,127.1061289,,,,37399456,,,True,
동일로26길,주거지 도로,37.5455937,127.0659888,37.545567,127.0660686,,,,255631684,,,,
동일로,주도로,37.5455937,127.0659888,37.5456852,127.0660422,,,,1135326939,,,True,
동일로30길,주거지 도로,37.547704,127.0671768,37.5476803,127.0672799,,,,381409375,,,,
동일로,주도로,37.547704,127.0671768,37.5477488,127.0672018,,,,1135326939,,,True,
동일로,주도로,37.549618,127.0682889,37.5501372,127.0685767,,,,175357595,,3,True,
동일로32길,주거지 도로,37.549618,127.0682889,37.5495818,127.0683853,,,,381467389,,,,
동일로,주도로,37.553056,127.0702078,37.5531665,127.0702709,,,,175357595,,3,True,
동일로42길,주거지 도로,37.553056,127.0702078,37.5530263,127.0702808,,,,381467429,,,,
강변북로,간선도로,37.5420651,127.1050696,37.538201,127.1001839,,,,172203038,,,True,
자양번영로,3차로,37.529737,127.0746347,37.530543,127.0748984,,,,37398869,,,,
자양번영로,3차로,37.529737,127.0746347,37.5296951,127.0746217,,,,37398869,,,,
,,37.529737,127.0746347,37.5292762,127.0759892,,,,617513164,,,,
,,37.529737,127.0746347,37.5298819,127.0739242,,,,617513164,,,,
자양번영로4길,주거지 도로,37.5316065,127.0752045,37.5314716,127.0759258,,,,85960678,,,,
자양번영로3길,주거지 도로,37.5316065,127.0752045,37.5317376,127.0744774,,,,172058978,,,,
자양번영로,3차로,37.5316065,127.0752045,37.532309,127.0754276,,,,516723466,,,,
자양번영로,3차로,37.5316065,127.0752045,37.531107,127.0750607,,,,516723466,,,,
자양번영로,3차로,37.532597,127.0755173,37.5331998,127.0756803,,,,516723466,,,,
자양번영로,3차로,37.532597,127.0755173,37.532309,127.0754276,,,,516723466,,,,
뚝섬로,2차로,37.53431,127.09109,37.5340117,127.0900966,,,,37398872,,2,,
뚝섬로67길,주거지 도로,37.53431,127.09109,37.5351906,127.0907255,,,,174699477,,,,
뚝섬로,2차로,37.53431,127.09109,37.5344847,127.0917181,,,,37398872,,2,,
뚝섬로,2차로,37.5344847,127.0917181,37.53431,127.09109,,,,37398872,,2,,
구의강변로,3차로,37.5344847,127.0917181,37.5338736,127.0916212,,,,37399363,,,,
뚝섬로,3차로,37.5344847,127.0917181,37.5344291,127.0925043,,,,174699441,,,,
구의강변로,2차로,37.5344847,127.0917181,37.53552,127.09211,,,,482173980,,4,,
구의강변로3길,주거지 도로,37.53552,127.09211,37.535693,127.0916754,,,,174699396,,,,
구의강변로,2차로,37.53552,127.09211,37.5367676,127.0928615,,,,482173980,,4,,
구의강변로,2차로,37.53552,127.09211,37.5344847,127.0917181,,,,482173980,,4,,
구의강변로5길,주거지 도로,37.537641,127.0934284,37.5377413,127.0933286,,,,175320391,,,,
구의강변로,2차로,37.537641,127.0934284,37.5375657,127.093384,,,,1221350625,,4,,
구의강변로,2차로,37.537641,127.0934284,37.5379226,127.0935921,,,,"[1221350625, 1221350622]",,"['4', '5']",,
광나루로54길,주거지 도로,37.5380704,127.0936773,37.5380256,127.0937932,,,,175320355,30,2,,
구의강변로,2차로,37.5380704,127.0936773,37.5379226,127.0935921,,,,1221350622,,5,,
구의강변로,2차로,37.5380704,127.0936773,37.5389714,127.0939848,,,,"[516725212, 1221350623]",,4,,
아차산로62길,주거지 도로,37.5389714,127.0939848,37.5389872,127.0938848,,,,175320394,,,,
구의강변로,2차로,37.5389714,127.0939848,37.5392579,127.0940609,,,,516725212,,,,
구의강변로,2차로,37.5389714,127.0939848,37.5380704,127.0936773,,,,"[516725212, 1221350623]",,4,,
긴고랑로42길,주거지 도로,37.558874,127.0930525,37.5586685,127.0930614,,,,417065476,,,,
긴고랑로,주거지 도로,37.558874,127.0930525,37.5587676,127.0925978,,,,516648939,,,,
긴고랑로,주거지 도로,37.558874,127.0930525,37.5591508,127.0940708,,,,516648939,,,,
긴고랑로41길,주거지 도로,37.5587676,127.0925978,37.5591859,127.0926917,,,,380760320,,,,
긴고랑로,주거지 도로,37.5587676,127.0925978,37.558874,127.0930525,,,,516648939,,,,
긴고랑로,주거지 도로,37.5587676,127.0925978,37.5586107,127.0916167,,,,516648939,,,,
영화사로3길,주거지 도로,37.5586107,127.0916167,37.5582083,127.0915819,,,,238270701,,,,
긴고랑로,주거지 도로,37.5586107,127.0916167,37.5593524,127.0917397,,,,380760323,,,,
긴고랑로,주거지 도로,37.5586107,127.0916167,37.5588053,127.0907337,,,,516648939,,,,
긴고랑로,주거지 도로,37.5586107,127.0916167,37.5587676,127.0925978,,,,516648939,,,,
긴고랑로39길,주거지 도로,37.5588053,127.0907337,37.5594308,127.0910574,,,,238271355,,,,
긴고랑로,주거지 도로,37.5588053,127.0907337,37.5586107,127.0916167,,,,516648939,,,,
긴고랑로,주거지 도로,37.5588053,127.0907337,37.55897,127.09005,,,,516648939,,,,
긴고랑로37길,주거지 도로,37.55897,127.09005,37.5595356,127.09013,,,,380760324,,,,
긴고랑로38길,주거지 도로,37.55897,127.09005,37.558642,127.0900477,,,,381407756,,,,
긴고랑로,주거지 도로,37.55897,127.09005,37.5588036,127.0887816,,,,516648939,,,,
긴고랑로,주거지 도로,37.55897,127.09005,37.5588053,127.0907337,,,,516648939,,,,
긴고랑로36길,주거지 도로,37.5588036,127.0887816,37.5582277,127.0895702,,,,381407755,,,,
긴고랑로,주거지 도로,37.5588036,127.0887816,37.55885,127.08853,,,,516648939,,,,
긴고랑로,주거지 도로,37.5588036,127.0887816,37.55897,127.09005,,,,516648939,,,,
긴고랑로35길,주거지 도로,37.55885,127.08853,37.5596589,127.0883733,,,,417054211,,,,
긴고랑로,주거지 도로,37.55885,127.08853,37.5588036,127.0887816,,,,516648939,,,,
긴고랑로,주거지 도로,37.55885,127.08853,37.5590664,127.0880258,,,,516648939,,,,
긴고랑로,2차로,37.5641996,127.0765167,37.5642375,127.0763978,,,,218790208,,,,
긴고랑로,2차로,37.5641996,127.0765167,37.5641585,127.0766778,,,,218790208,,,,
동일로,주도로,37.5641996,127.0765167,37.5643806,127.0766242,,,,1060930648,,,True,
광나루로46길,주거지 도로,37.54368,127.09318,37.5436413,127.0931129,,,,175320475,,,,
광나루로,2차로,37.54368,127.09318,37.5435594,127.0933075,,,,516647747,,,True,
광나루로44길,주거지 도로,37.5443758,127.09167,37.5443073,127.0916471,,,,175320502,30,,,
광나루로,2차로,37.5443758,127.09167,37.5439347,127.0927273,,,,516647747,,,True,
광나루로32길,주거지 도로,37.5451288,127.0838085,37.545035,127.083772,,,,175320302,,,,
광나루로,2차로,37.5451288,127.0838085,37.5450934,127.0840954,,,,218837482,,,True,
광나루로24길,주거지 도로,37.5463519,127.076223,37.5462317,127.0762344,,,,175320285,,,,
,2차로,37.5463519,127.076223,37.5464088,127.0762569,,,,976906283,,,,
광나루로,2차로,37.5463519,127.076223,37.5462445,127.0764719,,,,976906320,,,True,
광나루로22길,주거지 도로,37.5466844,127.0755679,37.5466252,127.0755227,,,,175320284,,,,
광나루로,2차로,37.5466844,127.0755679,37.5463519,127.076223,,,,976906285,,,True,
광나루로,2차로,37.5476959,127.0723769,37.5476319,127.072633,,,,218870944,,,True,
광나루로18길,주거지 도로,37.5476959,127.0723769,37.5476255,127.0723463,,,,417362129,,,,
광나루로,2차로,37.5481693,127.0688027,37.5481404,127.0690838,,,,218837465,,,True,
광나루로13길,주거지 도로,37.5481693,127.0688027,37.5482642,127.0688205,,,,381467398,,,,
구의강변로,주거지 도로,37.5338736,127.0916212,37.5334244,127.0901907,,,,129730200,,,,
구의강변로,3차로,37.5338736,127.0916212,37.5344847,127.0917181,,,,37399363,,,,
구의강변로,3차로,37.5338736,127.0916212,37.5326887,127.0917016,,,,37399363,,,,
강변역로4길,3차로,37.53441,127.09268,37.5347742,127.0931431,,,,174699391,,,,
강변역로4길,3차로,37.53441,127.09268,37.5340848,127.0925464,,,,174699392,,,,
뚝섬로,3차로,37.53441,127.09268,37.5344291,127.0925043,,,,174699441,,,,
강변역로4길,3차로,37.5352672,127.0937,37.5350108,127.0934181,,,,1116518764,,,,
강변역로4길,3차로,37.5352672,127.0937,37.5353812,127.0940271,,,,1206766709,,3,True,
광나루로56길,주거지 도로,37.5369835,127.0957562,37.5368635,127.0956967,,,,87646593,,,,
광나루로56길,주거지 도로,37.5369835,127.0957562,37.536183,127.0945792,,,,87646575,,,,
광나루로56길,주거지 도로,37.5369835,127.0957562,37.5381726,127.0971096,,,,87646594,,,,
아차산로70길,주거지 도로,37.54214,127.10174,37.5417661,127.1021792,,,,172203055,,2,,
아차산로70길,주거지 도로,37.54214,127.10174,37.5423,127.10164,,,,516725210,,,,
아차산로70길,주거지 도로,37.54214,127.10174,37.5393668,127.0984694,,,,516725210,,,,
아차산로70길,주거지 도로,37.5423,127.10164,37.5423925,127.1015937,,,,516725210,,,,
아차산로70길,주거지 도로,37.5423,127.10164,37.54214,127.10174,,,,516725210,,,,
아차산로36길,3차로,37.5387157,127.0743583,37.538861,127.074405,,,,174699357,,6,,
아차산로36길,3차로,37.5387157,127.0743583,37.5385985,127.074325,,,,174699357,,6,,
아차산로,2차로,37.5387157,127.0743583,37.5386637,127.0745752,,,,516723471,,3,True,
아차산로44길,주거지 도로,37.5371192,127.0807492,37.5370587,127.0807266,,,,174699365,,,,
아차산로,2차로,37.5371192,127.0807492,37.5370041,127.0812097,,,,516723474,50,3,True,
아차산로,2차로,37.5370234,127.0854908,37.5369022,127.0850093,building_passage,,,516647745,50,1,True,
아차산로,주거지 도로,37.5374595,127.0872237,37.5375189,127.0872084,,,,469954388,,,,
아차산로,2차로,37.5374595,127.0872237,37.5373068,127.0866171,building_passage,,,516647745,50,1,True,
아차산로,2차로,37.5374595,127.0872237,37.5373803,127.0870797,building_passage,,,1199529125,50,1,True,
광나루로44길,주거지 도로,37.5384,127.09109,37.5384939,127.0910555,,,,175320502,30,,,
아차산로,2차로,37.5384,127.09109,37.5383623,127.0909301,,,,482386652,,4,,
아차산로,2차로,37.5384,127.09109,37.53861,127.09158,,,,482386652,,4,,
아차산로60길,주거지 도로,37.53861,127.09158,37.5385335,127.091651,,,,175320425,,,,
아차산로,2차로,37.53861,127.09158,37.538847,127.0919729,,,,482386652,,4,,
아차산로,2차로,37.53861,127.09158,37.5384,127.09109,,,,482386652,,4,,
아차산로,2차로,37.53934,127.09279,37.539527,127.0930989,,,,1221350593,,5,,
,주거지 도로,37.53934,127.09279,37.5394112,127.0927233,,,,1221350595,,,,
아차산로,2차로,37.53934,127.09279,37.538847,127.0919729,,,,"[1221350593, 482386652]",,"['4', '5']",,
아차산로65길,주거지 도로,37.54039,127.09457,37.540461,127.0945064,,,,175320482,,,,
아차산로,2차로,37.54039,127.09457,37.5408815,127.0953825,,,,516725213,,,,
아차산로,2차로,37.54039,127.09457,37.5403492,127.0945026,,,,516725213,,,,
,2차로,37.5411322,127.0957988,37.5411964,127.095933,,,,976906321,,,,
,2차로,37.5411322,127.0957988,37.5410565,127.0956705,,,,976906326,,,,
광나루로,2차로,37.5411322,127.0957988,37.5409355,127.0960167,,,,976906327,,,True,
구의로,3차로,37.5379465,127.0891318,37.537839,127.089116,,,,37399453,,,,
구의로,3차로,37.5379465,127.0891318,37.5380116,127.0891427,,,,516647756,,,,
아차산로,2차로,37.5379465,127.0891318,37.5378899,127.0889104,,,,1199529130,50,2,True,
구의로4길,주거지 도로,37.54012,127.0896,37.5399717,127.0905943,,,,175320505,,,,
자양로26길,주거지 도로,37.54012,127.0896,37.5403697,127.0888939,,,,417323980,30,,,
구의로,3차로,37.54012,127.0896,37.54152,127.08992,,,,516647756,,,,
구의로,3차로,37.54012,127.0896,37.5399534,127.0895584,,,,516647756,,,,
,,37.54663,127.10675,37.5467978,127.1063785,,,,86099082,,,True,
구천면로,2차로,37.54663,127.10675,37.5467178,127.1061451,,,,975333465,,,,
구천면로,2차로,37.54663,127.10675,37.5465305,127.1074619,,,,975333466,,,,
군자로,3차로,37.5545005,127.0754516,37.5551337,127.0766019,,,,37399478,,,,
군자로,3차로,37.5545005,127.0754516,37.5543308,127.0751233,,,,37399478,,,,
군자로,주거지 도로,37.5545005,127.0754516,37.5541276,127.0757796,,,,381467556,,,,
군자로,3차로,37.5551337,127.0766019,37.5551647,127.0766473,,,,37399478,,,,
군자로,3차로,37.5551337,127.0766019,37.5545005,127.0754516,,,,37399478,,,,
능동로27길,주거지 도로,37.5551337,127.0766019,37.5547954,127.0766314,,,,381467532,,,,
군자로,3차로,37.5558904,127.0774511,37.5568273,127.0782204,,,,37399478,,,,
능동로31길,주거지 도로,37.5558904,127.0774511,37.5557026,127.0779098,,,,381467565,,,,
능동로31길,주거지 도로,37.5558904,127.0774511,37.5560665,127.077013,,,,381467571,,,,
군자로,3차로,37.5558904,127.0774511,37.5552417,127.0767446,,,,37399478,,,,
군자로,3차로,37.5568273,127.0782204,37.5573055,127.07862,,,,37399478,,,,
군자로,3차로,37.5568273,127.0782204,37.5558904,127.0774511,,,,37399478,,,,
능동로35길,주거지 도로,37.5568273,127.0782204,37.5567059,127.0785337,,,,416819990,,,,
능동로35길,주거지 도로,37.5568273,127.0782204,37.5570836,127.0775605,,,,416819990,,,,
능동로,2차로,37.5435909,127.0722839,37.5432041,127.0721084,,,,218837488,,3,True,
능동로16길,주거지 도로,37.5448913,127.0730313,37.5448718,127.0731053,,,,175320319,,,,
,2차로,37.5448913,127.0730313,37.5449259,127.0729103,,,,976906297,,,,
능동로,2차로,37.5448913,127.0730313,37.5449556,127.0730611,,,,976906298,,3,True,
,,37.5469283,127.0739955,37.546964,127.0738717,,,,396382761,,,,
,,37.5469283,127.0739955,37.5469025,127.074085,,,,396382761,,,,
능동로,2차로,37.5469283,127.0739955,37.5472339,127.0741928,,,,1221495341,,4,True,
능동로,2차로,37.551961,127.0766914,37.5517901,127.0766069,,,,396816938,,2,True,
능동로24길,2차로,37.551961,127.0766914,37.5519351,127.0767855,,,,976906307,,,,
능동로31길,주거지 도로,37.5554868,127.0784828,37.5555227,127.0783967,,,,381467565,,,,
능동로32길,2차로,37.5554868,127.0784828,37.5554482,127.078579,,,,976906313,,,,
능동로,2차로,37.5554868,127.0784828,37.5543607,127.0778798,,,,396816938,,2,True,
천호대로,주도로,37.5570888,127.0794562,37.5566093,127.0806118,,,,944420346,,5,True,
능동로,2차로,37.5570888,127.0794562,37.5569301,127.0793004,,,,976906314,,,True,
능동로,2차로,37.5570888,127.0794562,37.5572285,127.0795353,,,,1149812477,,,,
뚝섬로,2차로,37.5324164,127.0853111,37.5324785,127.0854452,,,,37398872,,2,,
자양로,주도로,37.5324164,127.0853111,37.5322867,127.0854035,,,,1193259444,,3,True,
뚝섬로,2차로,37.5324164,127.0853111,37.5323342,127.0851255,,,,1193259445,40,3,,
뚝섬로59길,주거지 도로,37.53197,127.08432,37.5329344,127.0838836,,,,174699475,,,,
뚝섬로,2차로,37.53197,127.08432,37.5323342,127.0851255,,,,1193259445,40,3,,
뚝섬로,2차로,37.53197,127.08432,37.531834,127.0839859,,,,1210200078,,,,
뚝섬로,2차로,37.53148,127.08173,37.53151,127.08145,,,,37400301,,,,
뚝섬로,주거지 도로,37.53148,127.08173,37.5320244,127.0818181,,,,174699445,,,,
뚝섬로,2차로,37.53148,127.08173,37.5314565,127.082504,,,,"[1210200077, 37400301]",,3,,
뚝섬로,2차로,37.53151,127.08145,37.5316148,127.0810144,,,,37400301,,,,
뚝섬로,2차로,37.53151,127.08145,37.53148,127.08173,,,,37400301,,,,
뚝섬로,주거지 도로,37.53151,127.08145,37.5320664,127.0816087,,,,174699444,,,,
뚝섬로,2차로,37.5319949,127.079697,37.53224,127.0788928,,,,37400301,,,,
자양로13길,주거지 도로,37.5319949,127.079697,37.5323305,127.0798663,,,,85960685,,,,
뚝섬로,2차로,37.5319949,127.079697,37.5316148,127.0810144,,,,37400301,,,,
뚝섬로52길,주거지 도로,37.5319949,127.079697,37.5315827,127.0794906,,,,85960677,30,2,,
뚝섬로,2차로,37.53277,127.07714,37.5329396,127.0765639,,,,37400301,,,,
뚝섬로,2차로,37.53277,127.07714,37.5327141,127.0773208,,,,37400301,,,,
뚝섬로46길,주거지 도로,37.53277,127.07714,37.5322044,127.0768883,,,,172058992,,,,
뚝섬로45길,주거지 도로,37.53277,127.07714,37.5333023,127.0773916,,,,174699457,,,,
뚝섬로36길,주거지 도로,37.5343731,127.0716568,37.5336507,127.0713338,,,,172058990,,,True,
뚝섬로37길,주거지 도로,37.5343731,127.0716568,37.5346441,127.0717826,,,,174699451,,,,
뚝섬로,2차로,37.5343731,127.0716568,37.5347961,127.0701853,,,,482173984,,,,
뚝섬로,2차로,37.5343731,127.0716568,37.5341046,127.0725776,,,,482173984,,,,
뚝섬로33길,주거지 도로,37.53504,127.06933,37.5364687,127.0700048,,,,174699448,,,,
뚝섬로,2차로,37.53504,127.06933,37.5352244,127.0686884,,,,482173984,,,,
뚝섬로,2차로,37.53504,127.06933,37.5347961,127.0701853,,,,482173984,,,,
뚝섬로32길,주거지 도로,37.53556,127.06749,37.5354735,127.0674476,,,,179743245,,,,
뚝섬로31길,주거지 도로,37.53556,127.06749,37.5357226,127.0675707,,,,367553852,,,,
뚝섬로,2차로,37.53556,127.06749,37.5358208,127.0664736,,,,516723481,,,,
뚝섬로,2차로,37.53556,127.06749,37.5354236,127.0679852,,,,516723481,,,,
뚝섬로30길,주거지 도로,37.53605,127.06558,37.5355412,127.0661399,,,,179743243,,,,
뚝섬로25길,주거지 도로,37.53605,127.06558,37.5364704,127.0651649,,,,417328648,,,,
뚝섬로,2차로,37.53605,127.06558,37.5360892,127.0654219,,,,516723481,,,,
뚝섬로,2차로,37.53605,127.06558,37.5359728,127.0658809,,,,516723481,,,,
뚝섬로21길,주거지 도로,37.53696,127.06206,37.5370539,127.0621037,,,,367553856,,,,
뚝섬로22길,주거지 도로,37.53696,127.06206,37.5369103,127.0620278,,,,417365040,,,,
뚝섬로,2차로,37.53696,127.06206,37.5371323,127.0614305,,,,516723481,,,,
뚝섬로,2차로,37.53696,127.06206,37.5367674,127.0628065,,,,516723481,,,,
