,도로명,열선,도로 종류,시작점_위도,시작점_경도,종료점_위도,종료점_경도,중앙점_위도,중앙점_경도,도로_길이,도로폭,도로규모,행정구역,고도의_차이,경사각,최근접_시설들_거리,최근접_시설의_평균거리,2019_평균_온도,2020_평균_온도,2021_평균_온도,2022_평균_온도,2023_평균_온도,2024_평균_온도,종합_평균_기온,행정동,생활인구,최근접_시설들_최소거리,최근접_시설들_최대거리,점수
4285,긴고랑로,0,주거지 도로,37.5620939,127.0960892,37.5601059,127.0948625,37.5610999,127.0954758,259.3622359,폭6-8m,소로3류,광진구,11.204460144042969,2.6069432579085685,"367.61302910350616 ,332.7191043644049 ,410.6012007877659 ,462.5084541757262 ,563.1264644065537",427.3136505675914,4.84334038400001,3.135925460000029,-4.362071079999987,-5.176243443999977,-4.240389567999978,-2.641667679999974,-1.406851,중곡4동,571703.5397563636,332.7191043644049,563.1264644065537,0.7808818
4378,용마산로32길,0,주거지 도로,37.5693385,127.0880304,37.5693539,127.0886793,37.5693462,127.0883549,57.2164311,6m미만,소로,광진구,10.083782196044917,9.99513998685202,"248.95810726514196 ,240.15801758846584 ,271.27975064088474 ,285.38907169269686 ,301.0910798642397",269.3752054102858,3.8199851960000273,0.7182459800000155,-5.144797659999983,-5.589140259999965,-5.281518459999984,-3.926843199999989,-2.567345,중곡4동,571703.5397563636,240.15801758846584,301.0910798642397,0.75574964
4114,능동로32길,0,주거지 도로,37.5520369,127.0872436,37.5519505,127.0873466,37.5519937,127.0872951,13.21915672,6m미만,소로,광진구,0.865304946899407,3.745152781945936,"114.11001551630594 ,114.11001551630594 ,146.86895130492988 ,158.98970874669212 ,191.45191591675453",145.10612140019768,4.843340384000021,1.3369076000000175,-3.0939856599999755,-4.561683447999985,-4.522034415999992,-2.7037617099999856,-1.450203,능동,371402.6744345455,114.11001551630594,191.45191591675453,0.7357383
4110,능동로32길,0,주거지 도로,37.5519505,127.0873466,37.5520369,127.0872436,37.5519937,127.0872951,13.21915672,6m미만,소로,광진구,0.865304946899407,3.745152781945936,"114.11001551630594 ,114.11001551630594 ,146.86895130492988 ,158.98970874669212 ,191.45191591675453",145.10612140019768,4.843340384000021,1.3369076000000175,-3.0939856599999755,-4.561683447999985,-4.522034415999992,-2.7037617099999856,-1.450203,능동,371402.6744345455,114.11001551630594,191.45191591675453,0.7357383
2582,초원로,0,주거지 도로,37.5393053,127.0769282,37.5392638,127.0770631,37.53928455,127.0769957,12.75800482,폭6-8m,소로3류,광진구,0.7720737457275391,3.463139106129126,"201.6819586183147 ,232.75822835842698 ,252.69893824735783 ,274.05854278853144 ,310.04917877620215",254.2493693577666,3.362654120000036,0.7387541000000226,-3.7974141759999727,-3.327094623999983,-7.762146474999987,-3.0182195499999884,-2.300578,화양동,933033.0985672728,201.6819586183147,310.0491787762021,0.72826636
4388,용마산로34길,0,주거지 도로,37.5700571,127.0880373,37.5700687,127.0872083,37.5700629,127.0876228,73.07459542,6m미만,소로,광진구,12.26311492919922,9.526417448401222,"205.18731125900334 ,269.06340474117235 ,257.54691165197244 ,282.2268089500928 ,267.82113381020747",256.3691140824897,4.102313648000029,0.8726265500000068,-4.904169051999975,-5.582987823999974,-5.049776703999987,-3.7394217699999786,-2.383569,중곡4동,571703.5397563636,205.18731125900337,282.2268089500928,0.70232505
5349,영화사로11길,0,주거지 도로,37.5557827,127.0948163,37.5554421,127.0942372,37.5556124,127.0945267,63.56339679,6m미만,소로,광진구,10.81767272949218,9.658479560619954,"208.86919648301725 ,176.02970509062033 ,261.24021976941293 ,235.68127227643336 ,306.50902992349546",237.66588470859585,4.688845880000008,1.421218760000026,-2.778160611999988,-5.5255650879999845,-4.780436727999972,-2.01673968999998,-1.498473,구의2동,457624.6836290909,176.02970509062033,306.50902992349546,0.70072216
3610,아차산로58가길,0,주거지 도로,37.5359101,127.09021,37.5358019,127.0898615,37.535856,127.0900357,33.00022336,6m미만,소로,광진구,1.93476676940918,3.355352230330311,"46.25031618914414 ,129.96131687422834 ,116.12131201961093 ,163.94149922731145 ,219.17254712718474",135.08939828749592,4.651247660000001,1.335768260000009,-2.479425663999996,-4.873406871999987,-4.30533194799998,-2.137509729999986,-1.301443,구의3동,668180.4635927272,46.25031618914414,219.1725471271847,0.694175
3597,아차산로58가길,0,주거지 도로,37.5358019,127.0898615,37.5359101,127.09021,37.535856,127.0900357,33.00022336,6m미만,소로,광진구,1.93476676940918,3.355352230330311,"46.25031618914414 ,129.96131687422834 ,116.12131201961093 ,163.94149922731145 ,219.17254712718474",135.08939828749592,4.651247660000001,1.335768260000009,-2.479425663999996,-4.873406871999987,-4.30533194799998,-2.137509729999986,-1.301443,구의3동,668180.4635927272,46.25031618914414,219.1725471271847,0.694175
2538,능동로24길,0,주거지 도로,37.5525713,127.0801082,37.552799,127.0798058,37.55268515,127.079957,36.78463001,6m미만,소로,광진구,3.668424606323238,5.698055154453066,"123.42485815116291 ,202.94719196060808 ,288.37076453712837 ,433.43859325527137 ,457.3245478124955",301.10119114333327,4.942462964000026,1.2053138300000132,-3.4870579599999703,-3.63676723599998,-7.474178289999983,-3.157788699999988,-1.934669,능동,371402.6744345455,123.42485815116292,457.3245478124955,0.6687145
2541,능동로24길,0,주거지 도로,37.552799,127.0798058,37.5525713,127.0801082,37.55268515,127.079957,36.78463001,6m미만,소로,광진구,3.668424606323238,5.698055154453066,"123.42485815116291 ,202.94719196060808 ,288.37076453712837 ,433.43859325527137 ,457.3245478124955",301.10119114333327,4.942462964000026,1.2053138300000132,-3.4870579599999703,-3.63676723599998,-7.474178289999983,-3.157788699999988,-1.934669,능동,371402.6744345455,123.42485815116292,457.3245478124955,0.6687145
4282,천호대로124길,0,주거지 도로,37.5523177,127.0893836,37.5523866,127.0884563,37.55235215,127.08892,86.48440922,6m미만,소로,광진구,2.913520812988285,2.032321655668274,"115.93173684045956 ,242.85264684450067 ,221.7329240652504 ,221.7329240652504 ,271.6392779080189",214.777901944696,5.0039873240000246,1.89062684000002,-2.6660495559999733,-3.819289503999983,-4.177497999999969,-2.485578099999979,-1.0423,능동,371402.6744345455,115.93173684045956,271.6392779080189,0.62838686
4618,천호대로124길,0,주거지 도로,37.5523866,127.0884563,37.5523177,127.0893836,37.55235215,127.08892,86.48440922,6m미만,소로,광진구,2.913520812988285,2.032321655668274,"115.93173684045956 ,242.85264684450067 ,221.7329240652504 ,221.7329240652504 ,271.6392779080189",214.777901944696,5.0039873240000246,1.89062684000002,-2.6660495559999733,-3.819289503999983,-4.177497999999969,-2.485578099999979,-1.0423,능동,371402.6744345455,115.93173684045956,271.6392779080189,0.62838686
3925,광나루로30다길,0,주거지 도로,37.5433624,127.0815049,37.5432458,127.0818149,37.5433041,127.0816599,30.25071266,6m미만,소로,광진구,2.060932159423828,3.89745181699722,"58.315243435291215 ,123.35120458932022 ,175.77833103911192 ,210.98049976570616 ,210.98049976570616",155.8811557190271,3.4426357880000182,0.7883153900000176,-3.3298290400000043,-2.338603239999986,-4.329941691999966,-2.188210359999976,-1.325939,구의1동,525582.6877527273,58.315243435291215,210.98049976570616,0.6220523
3910,광나루로30다길,0,주거지 도로,37.5432458,127.0818149,37.5433624,127.0815049,37.5433041,127.0816599,30.25071266,6m미만,소로,광진구,2.060932159423828,3.89745181699722,"58.315243435291215 ,123.35120458932022 ,175.77833103911192 ,210.98049976570616 ,210.98049976570616",155.8811557190271,3.4426357880000182,0.7883153900000176,-3.3298290400000043,-2.338603239999986,-4.329941691999966,-2.188210359999976,-1.325939,구의1동,525582.6877527273,58.315243435291215,210.98049976570616,0.6220523
4374,용마산로33길,0,주거지 도로,37.5700825,127.0861457,37.5701344,127.0857168,37.57010845,127.0859313,38.23870689,6m미만,소로,광진구,2.9443778991699148,4.403089196520162,"155.04611112690236 ,187.76482489458652 ,194.5621715525062 ,177.98760304530504 ,224.41241903970948",187.9546259318019,3.971061680000026,0.8008481300000293,-4.475549344000001,-5.769611715999974,-8.637159594999986,-3.949629999999975,-3.010007,중곡3동,353811.96346909093,155.04611112690236,224.41241903970948,0.6165307
1253,자양강변길,0,주거지 도로,37.5303394,127.086902,37.5298551,127.0868678,37.53009725,127.0868849,54.24999557,폭6-8m,소로3류,광진구,0.4496479034423828,0.4776455622428818,"84.7693095376695 ,108.49402013297605 ,146.75226688473086 ,170.06441684311474 ,219.5132669983704",145.91865607937228,5.8181596880000255,2.507579450000018,-1.964671851999992,-1.7595906519999858,-3.1937918439999806,-2.2662551499999872,-0.143095,자양2동,504804.4805581818,84.7693095376695,219.5132669983704,0.60644114
3540,아차산로58나길,0,주거지 도로,37.5352075,127.0901355,37.5353188,127.0905089,37.53526315,127.0903222,35.17384055,6m미만,소로,광진구,1.920438766479492,3.125164853551067,"104.73057151143706 ,126.19349352652529 ,138.15508821005184 ,151.30838647126893 ,151.30838647126893",134.33918523811042,5.115414776000011,1.7083324400000304,-1.7254104519999711,-4.3333597119999805,-4.053082071999978,-1.7489947899999787,-0.839517,구의3동,668180.4635927272,104.73057151143706,151.30838647126893,0.5828997
3557,아차산로58나길,0,주거지 도로,37.5353188,127.0905089,37.5352075,127.0901355,37.53526315,127.0903222,35.17384055,6m미만,소로,광진구,1.920438766479492,3.125164853551067,"104.73057151143706 ,126.19349352652529 ,138.15508821005184 ,151.30838647126893 ,151.30838647126893",134.33918523811042,5.115414776000011,1.7083324400000304,-1.7254104519999711,-4.3333597119999805,-4.053082071999978,-1.7489947899999787,-0.839517,구의3동,668180.4635927272,104.73057151143706,151.30838647126893,0.5828997
5143,용마산로34길,0,주거지 도로,37.570074,127.0868288,37.5700687,127.0872083,37.57007135,127.0870185,33.45209789,6m미만,소로,광진구,5.844089508056641,9.909593716132935,"198.4795739796697 ,224.6113285570522 ,253.24587032355635 ,222.18919632353294 ,253.91803491205917",230.4888008191741,3.950553560000015,0.4527797600000364,-4.877508495999996,-5.820198411999968,-5.186497503999988,-3.820884579999965,-2.550293,중곡4동,571703.5397563636,198.4795739796697,253.9180349120592,0.57837313
6534,용마산로33길,0,주거지 도로,37.5703523,127.0838927,37.5702885,127.0844774,37.5703204,127.0841851,52.01789,6m미만,소로,광진구,3.63708305358886,3.999608669130277,"38.132679013670945 ,94.11632120530601 ,130.53503470302869 ,163.27815234609633 ,200.41781489975358",125.29600043357112,4.440014024000016,1.025298110000023,-3.869876199999976,-5.338941195999974,-8.333810319999984,-3.490475979999985,-2.594632,중곡3동,353811.96346909093,38.13267901367095,200.4178148997536,0.571898
6539,용마산로33길,0,주거지 도로,37.5702885,127.0844774,37.5703523,127.0838927,37.5703204,127.0841851,52.01789,6m미만,소로,광진구,3.63708305358886,3.999608669130277,"38.132679013670945 ,94.11632120530601 ,130.53503470302869 ,163.27815234609633 ,200.41781489975358",125.29600043357112,4.440014024000016,1.025298110000023,-3.869876199999976,-5.338941195999974,-8.333810319999984,-3.490475979999985,-2.594632,중곡3동,353811.96346909093,38.13267901367095,200.4178148997536,0.571898
3146,뚝섬로52나길,0,주거지 도로,37.5307969,127.0795012,37.5308173,127.0794522,37.5308071,127.0794767,4.880089989,6m미만,소로,광진구,0.5289669036865199,6.186309794924495,"126.51196050624799 ,161.6347269711441 ,158.99890987235258 ,197.66236876838613 ,222.92601200065437",173.54679562375705,4.508374424000022,1.3408952900000202,-2.7022805679999804,-1.994750427999986,-4.380528387999982,-3.807212499999982,-1.172584,자양2동,504804.4805581818,126.511960506248,222.9260120006544,0.56868887
3149,뚝섬로52나길,0,주거지 도로,37.5308173,127.0794522,37.5307969,127.0795012,37.5308071,127.0794767,4.880089989,6m미만,소로,광진구,0.5289669036865199,6.186309794924495,"126.51196050624799 ,161.6347269711441 ,158.99890987235258 ,197.66236876838613 ,222.92601200065437",173.54679562375705,4.508374424000022,1.3408952900000202,-2.7022805679999804,-1.994750427999986,-4.380528387999982,-3.807212499999982,-1.172584,자양2동,504804.4805581818,126.511960506248,222.9260120006544,0.56868887
5443,영화사로16길,0,주거지 도로,37.5544264,127.0954804,37.5544052,127.095984,37.5544158,127.0957322,44.4562249,6m미만,소로,광진구,3.4412384033203054,4.426293944956513,"142.691269897039 ,193.8129019590249 ,179.88535753510274 ,273.35534061491944 ,375.9753873513592",233.14405147148904,4.069500656000014,0.7683769400000339,-3.8685089919999767,-5.010811275999993,-5.589823863999982,-2.796617919999979,-2.071314,구의2동,457624.6836290909,142.691269897039,375.9753873513592,0.5245556
4423,아차산로78길,0,주거지 도로,37.5499961,127.1095432,37.5503666,127.1087805,37.55018135,127.1091619,78.85547696,폭15-20m,중로2류,광진구,10.145713806152337,7.331529291794016,"152.76041167628807 ,152.76041167628807 ,152.76041167628807 ,224.965790060331 ,258.68819181892337",188.3870433816237,4.430443567999999,1.514644640000019,-1.6666205079999827,-2.258035625714261,-2.16314487999999,-0.2357613799999853,-0.063079,광장동,845003.6362,152.76041167628807,258.68819181892337,0.5236082
4454,용마산로22길,0,주거지 도로,37.5651463,127.0883618,37.565534,127.0887714,37.56534015,127.0885666,70.14939098,폭6-8m,소로3류,광진구,10.827800750732422,10.899555524417826,"83.16731426768926 ,196.8992735382871 ,252.44791596438847 ,272.2524316136069 ,263.547254012763",213.66283787934697,2.566255460000002,0.9472533200000156,-5.228197347999992,-5.269897191999997,-5.581620615999969,-4.201993809999976,-2.7947,중곡4동,571703.5397563636,83.16731426768926,272.2524316136069,0.522752
4297,자양로50길,0,주거지 도로,37.5525862,127.0954121,37.5534664,127.0973405,37.5530263,127.0963763,205.3325192,6m미만,소로,광진구,19.6155776977539,5.710519052991923,"32.786437765477395 ,164.59067102432965 ,194.836042680453 ,239.54495957021268 ,313.0654012599603",188.9647024600866,3.668225108000024,0.4681608500000322,-3.8391140199999767,-5.51189300799997,-5.944614339999987,-1.4674964285714105,-2.104455,구의2동,457624.6836290909,32.786437765477395,313.0654012599603,0.50786453
2494,금호로1길,0,주거지 도로,37.5441577,127.0651825,37.5439162,127.0658849,37.54403695,127.0655337,67.49939035,폭6-8m,소로3류,광진구,1.6255645751953107,1.3795836365050556,"150.63298254323288 ,204.2684974300953 ,235.81280788489187 ,235.81280788489187 ,261.8004552436114",217.66551019734464,5.349207344000012,1.802897660000023,-4.523401623999968,-0.5603783349999674,-6.503460609999983,-1.61569200999998,-1.008471,화양동,933033.0985672728,150.63298254323288,261.8004552436114,0.49990013
6791,용마산로21길,0,주거지 도로,37.5624668,127.0852599,37.5620507,127.0850268,37.56225875,127.0851433,50.62509738,폭6-8m,소로3류,광진구,1.956279754638672,2.212953584748238,"27.743460838812098 ,50.59170615674677 ,74.30066322853001 ,95.30691269990167 ,96.06330326388125",68.80120923757435,3.705823328000031,2.550304700000017,-4.684732167999971,-5.371070583999983,-4.619106183999975,-3.363439569999973,-1.963703,중곡2동,427294.9378436364,27.74346083881209,96.06330326388124,0.4931419
6678,용마산로21길,0,주거지 도로,37.5620507,127.0850268,37.5624668,127.0852599,37.56225875,127.0851433,50.62509738,폭6-8m,소로3류,광진구,1.956279754638672,2.212953584748238,"27.743460838812098 ,50.59170615674677 ,74.30066322853001 ,95.30691269990167 ,96.06330326388125",68.80120923757435,3.705823328000031,2.550304700000017,-4.684732167999971,-5.371070583999983,-4.619106183999975,-3.363439569999973,-1.963703,중곡2동,427294.9378436364,27.74346083881209,96.06330326388124,0.4931419
3626,아차산로58가길,0,주거지 도로,37.5361041,127.0908353,37.5359101,127.09021,37.5360071,127.0905226,59.20527823,6m미만,소로,광진구,2.710992813110352,2.621729810423303,"28.287550755541677 ,71.02271105910972 ,92.58027694726728 ,206.1036766503782 ,213.73294577382777",122.34543223722493,4.783183232000022,1.4320424900000148,-1.8778541439999912,-4.802312055999982,-4.067437755999981,-2.0024979399999787,-1.089146,구의3동,668180.4635927272,28.28755075554168,213.73294577382777,0.49187192
3609,아차산로58가길,0,주거지 도로,37.5359101,127.09021,37.5361041,127.0908353,37.5360071,127.0905226,59.20527823,6m미만,소로,광진구,2.710992813110352,2.621729810423303,"28.287550755541677 ,71.02271105910972 ,92.58027694726728 ,206.1036766503782 ,213.73294577382777",122.34543223722493,4.783183232000022,1.4320424900000148,-1.8778541439999912,-4.802312055999982,-4.067437755999981,-2.0024979399999787,-1.089146,구의3동,668180.4635927272,28.28755075554168,213.73294577382777,0.49187192
4519,천호대로129길,0,주거지 도로,37.5526002,127.0903194,37.5523763,127.0896057,37.55248825,127.0899625,67.66920007,6m미만,소로,광진구,1.5420989990234446,1.3055962054239554,"138.18804385722945 ,140.59767416071165 ,165.19273370312848 ,248.1620467108774 ,211.09184260728472",180.6464682078463,5.578214684000011,2.1207735200000286,-1.8846901839999872,-3.4118615199999907,-3.755030727999963,-1.8999573399999816,-0.542092,구의2동,457624.6836290909,138.18804385722945,248.1620467108774,0.4860814
5332,천호대로129길,0,주거지 도로,37.5523763,127.0896057,37.5526002,127.0903194,37.55248825,127.0899625,67.66920007,6m미만,소로,광진구,1.5420989990234446,1.3055962054239554,"138.18804385722945 ,140.59767416071165 ,165.19273370312848 ,248.1620467108774 ,211.09184260728472",180.6464682078463,5.578214684000011,2.1207735200000286,-1.8846901839999872,-3.4118615199999907,-3.755030727999963,-1.8999573399999816,-0.542092,구의2동,457624.6836290909,138.18804385722945,248.1620467108774,0.4860814
2706,자양로28길,0,주거지 도로,37.5422408,127.0852708,37.5420702,127.085192,37.5421555,127.0852314,20.20210779,6m미만,소로,광진구,1.1770000457763707,3.3343591429996837,"65.22221108164996 ,89.857517339027 ,122.86952673303331 ,155.60265093128626 ,155.60265093128626",117.83091140325656,4.402415804000009,0.9933965900000128,-2.501300991999983,-3.0133203879999995,-4.634829075999972,-2.995432749999987,-1.291512,구의1동,525582.6877527273,65.22221108164996,155.60265093128626,0.46308985
2725,자양로26길,0,주거지 도로,37.5420702,127.085192,37.5422408,127.0852708,37.5421555,127.0852314,20.20210779,6m미만,소로,광진구,1.1770000457763707,3.3343591429996837,"65.22221108164996 ,89.857517339027 ,122.86952673303331 ,155.60265093128626 ,155.60265093128626",117.83091140325656,4.402415804000009,0.9933965900000128,-2.501300991999983,-3.0133203879999995,-4.634829075999972,-2.995432749999987,-1.291512,구의1동,525582.6877527273,65.22221108164996,155.60265093128626,0.46308985
2883,자양로2길,0,주거지 도로,37.5305782,127.0868893,37.5307173,127.087167,37.53064775,127.0870281,28.98046379,6m미만,소로,광진구,0.7771167755127024,1.5369276510774752,"23.27107012385189 ,80.37060903199284 ,167.93935270391293 ,168.42939395834367 ,168.42939395834367",121.687963955289,5.907711812000014,2.606702030000017,-2.0542239759999914,-1.7855676039999708,-3.056387439999992,-2.217263529999987,-0.099838,자양2동,504804.4805581818,23.27107012385189,168.42939395834367,0.46164456
4377,용마산로32길,0,주거지 도로,37.5693385,127.0880304,37.5693363,127.0868453,37.5693374,127.0874379,104.4490854,6m미만,소로,광진구,12.667465209960945,6.915004812519805,"189.4951460585234 ,243.0428731067297 ,251.54613741841337 ,263.4834799711191 ,281.88533844159036",245.8905949992752,4.133759432000022,0.952950020000022,-4.72574840799997,-5.636992539999983,-4.85631677199998,-3.7360037499999854,-2.311392,중곡4동,571703.5397563636,189.4951460585234,281.8853384415904,0.45935628
5413,영화사로,0,주거지 도로,37.5544441,127.0967811,37.5545836,127.0947324,37.55451385,127.0957568,192.0344387,6m미만,소로,광진구,18.514823913574222,5.832166947148809,"150.50429870794375 ,203.80948251354616 ,180.55730701904824 ,281.16889131437165 ,365.14140827467696",236.23627756591736,4.069500656000014,0.7683769400000339,-3.8685089919999767,-5.010811275999993,-5.589823863999982,-2.796617919999979,-2.071314,구의2동,457624.6836290909,150.50429870794375,365.14140827467696,0.45818618
5411,영화사로,0,주거지 도로,37.5545836,127.0947324,37.5544441,127.0967811,37.55451385,127.0957568,192.0344387,6m미만,소로,광진구,18.514823913574222,5.832166947148809,"150.50429870794375 ,203.80948251354616 ,180.55730701904824 ,281.16889131437165 ,365.14140827467696",236.23627756591736,4.069500656000014,0.7683769400000339,-3.8685089919999767,-5.010811275999993,-5.589823863999982,-2.796617919999979,-2.071314,구의2동,457624.6836290909,150.50429870794375,365.14140827467696,0.45818618
6538,용마산로33길,0,주거지 도로,37.5702885,127.0844774,37.5702163,127.0850407,37.5702524,127.0847591,50.29078293,6m미만,소로,광진구,3.4905738830566517,3.9704134818965775,"77.61898309590669 ,143.18622203514724 ,136.3980805503439 ,184.73377084373368 ,188.1813727788688",146.02368586080007,4.3340554040000026,0.8925650000000189,-3.7762224519999914,-5.453786667999987,-8.48334869499999,-3.5970042699999945,-2.680624,중곡3동,353811.96346909093,77.61898309590669,188.1813727788688,0.45594305
6542,용마산로33길,0,주거지 도로,37.5702163,127.0850407,37.5702885,127.0844774,37.5702524,127.0847591,50.29078293,6m미만,소로,광진구,3.4905738830566517,3.9704134818965775,"77.61898309590669 ,143.18622203514724 ,136.3980805503439 ,184.73377084373368 ,188.1813727788688",146.02368586080007,4.3340554040000026,0.8925650000000189,-3.7762224519999914,-5.453786667999987,-8.48334869499999,-3.5970042699999945,-2.680624,중곡3동,353811.96346909093,77.61898309590669,188.1813727788688,0.45594305
5043,광나루로26길,0,주거지 도로,37.545211,127.0780161,37.5453398,127.0780177,37.5452754,127.0780169,14.32262145,6m미만,소로,광진구,1.4221954345703125,5.6707264842141,"16.48901285546221 ,279.2609660386127 ,323.3171953027553 ,298.30697735759793 ,333.0709319955726",250.08901671000007,5.792866340000012,1.4365998500000217,-2.145826911999984,-2.85062263599998,-7.093923564999983,-1.4875162599999785,-1.058071,화양동,933033.0985672728,16.48901285546221,333.0709319955726,0.4517592
5072,광나루로26길,0,주거지 도로,37.5453398,127.0780177,37.545211,127.0780161,37.5452754,127.0780169,14.32262145,6m미만,소로,광진구,1.4221954345703125,5.6707264842141,"16.48901285546221 ,279.2609660386127 ,323.3171953027553 ,298.30697735759793 ,333.0709319955726",250.08901671000007,5.792866340000012,1.4365998500000217,-2.145826911999984,-2.85062263599998,-7.093923564999983,-1.4875162599999785,-1.058071,화양동,933033.0985672728,16.48901285546221,333.0709319955726,0.4517592
4518,자양로43길,0,주거지 도로,37.5526002,127.0903194,37.551606,127.0907819,37.5521031,127.0905506,117.8290358,6m미만,소로,광진구,2.085472106933601,1.013981344261274,"77.18026266897492 ,110.91571448654781 ,137.04904155563742 ,157.50999500972193 ,162.00493602523676",128.93198994922378,5.449013528000012,2.1093801200000164,-1.9318588599999884,-3.416646747999971,-3.739307835999989,-1.6606959399999728,-0.531686,구의2동,457624.6836290909,77.18026266897492,162.00493602523676,0.4342255
